Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,HDA,NF,OF,PF,RF,TWF
2,0.3804347826086953,0.4320987654321016,0.1029857889315208,0.6881868131868131,0.533596837944664,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.4320987654321016,0.0994488117928241,0.5535714285714285,0.5533596837944663,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.4197530864197603,0.2085900870285327,0.0109890109890109,0.5652173913043478,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0.3913043478260789,0.4197530864197603,0.091069004769871,0.7019230769230769,0.5731225296442687,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3804347826086953,0.4074074074074119,0.1204042087078358,0.5494505494505494,0.5810276679841897,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3695652173912975,0.4074074074074119,0.1339875113116058,0.4299450549450549,0.6007905138339921,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3695652173912975,0.4074074074074119,0.1535679878628514,0.3612637362637363,0.608695652173913,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4197530864197603,0.1236179737577256,0.5068681318681318,0.616600790513834,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4197530864197603,0.1159090865917302,0.5302197802197801,0.6245059288537549,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4197530864197603,0.1238276050375856,0.5013736263736263,0.6324110671936758,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.4074074074074119,0.1494606321487284,0.353021978021978,0.6403162055335968,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4197530864197603,0.0895521645514997,0.695054945054945,0.6521739130434783,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4197530864197603,0.0940377515679359,0.6703296703296703,0.6600790513833992,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.4074074074074119,0.1387352332111605,0.4725274725274725,0.6679841897233201,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.4074074074074119,0.1690093101499308,0.2623626373626374,0.6798418972332015,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.4074074074074119,0.1673718557464392,0.3035714285714285,0.6877470355731224,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.4197530864197603,0.1258930260827573,0.478021978021978,0.6996047430830039,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.4197530864197603,0.0943299501412661,0.5673076923076923,0.7075098814229248,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.3950617283950635,0.1519620514189888,0.342032967032967,0.7154150197628458,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3804347826086953,0.3950617283950635,0.1133292242081672,0.5535714285714285,0.7272727272727272,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.1267037160213531,0.3928571428571428,0.7470355731225296,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.4074074074074119,0.0988929659017789,0.8502747252747253,0.7549407114624506,1,0.0,0.0,0.0,1.0,0.0,0.0
1,0.3913043478260789,0.4074074074074119,0.1770587748963105,0.2582417582417582,0.7628458498023715,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.4197530864197603,0.1099298622135608,0.5728021978021978,0.7747035573122529,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.4197530864197603,0.0867657988958754,0.5576923076923076,0.7826086956521738,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.4197530864197603,0.1387352332111605,0.4285714285714286,0.7905138339920948,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.4074074074074119,0.1402447294397876,0.3914835164835165,0.7984189723320158,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.0898572918284471,0.5892857142857143,0.8063241106719367,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.1121303286940574,0.6057692307692307,0.8142292490118577,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.1106694891979332,0.5151098901098901,0.8221343873517786,1,0.0,0.0,0.0,0.0,0.0,1.0
0,0.3804347826086953,0.3950617283950635,0.0954903856582647,0.6552197802197802,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.0966375821095289,0.4684065934065933,0.0079051383399209,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3804347826086953,0.3827160493827222,0.1081797728133973,0.6332417582417582,0.0158102766798418,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3950617283950635,0.1094333261721891,0.6002747252747253,0.0355731225296442,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3950617283950635,0.1101770925490371,0.5082417582417581,0.0434782608695652,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.4074074074074119,0.1140406238372828,0.4986263736263737,0.0513833992094861,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3950617283950635,0.1021811031640491,0.6016483516483516,0.0592885375494071,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.4021739130434767,0.4074074074074119,0.166578232219082,0.315934065934066,0.067193675889328,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.4021739130434767,0.4074074074074119,0.1058786266024682,0.5508241758241758,0.0790513833992094,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.4074074074074119,0.1300536494108285,0.3846153846153846,0.0988142292490118,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.4021739130434767,0.4074074074074119,0.1013695476308886,0.5686813186813187,0.1067193675889328,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.3950617283950635,0.1181874740784558,0.4903846153846153,0.1185770750988142,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3950617283950635,0.161146240050149,0.3021978021978022,0.1304347826086956,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3950617283950635,0.169103605389311,0.2898351648351648,0.1383399209486165,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.3950617283950635,0.1581082266425872,0.3200549450549451,0.1462450592885375,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4130434782608674,0.4074074074074119,0.1094333261721891,0.5384615384615384,0.1581027667984189,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.3950617283950635,0.14363285933976,0.385989010989011,0.1660079051383399,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.4021739130434767,0.4074074074074119,0.0809687726124362,0.6648351648351648,0.1739130434782608,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.4021739130434767,0.4074074074074119,0.135785305038461,0.4326923076923076,0.1857707509881422,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3913043478260789,0.3950617283950635,0.1608054426598088,0.3585164835164835,0.1976284584980237,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3827160493827222,0.1271058000352217,0.396978021978022,0.2094861660079051,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3827160493827222,0.1258930260827573,0.5576923076923076,0.217391304347826,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3950617283950635,0.1711232189681636,0.2912087912087912,0.225296442687747,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3827160493827222,0.1817781524572133,0.2321428571428571,0.2332015810276679,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3827160493827222,0.1321415850357914,0.5054945054945055,0.2411067193675889,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3827160493827222,0.1071642149595735,0.5041208791208791,0.2490118577075098,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3703703703703738,0.1094333261721891,0.5439560439560439,0.2608695652173913,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3703703703703738,0.1385653159409311,0.375,0.2687747035573122,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3703703703703738,0.1081797728133973,0.6140109890109889,0.2766798418972331,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3827160493827222,0.1204042087078358,0.5906593406593406,0.2845849802371541,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3913043478260789,0.3827160493827222,0.1434756506934429,0.396978021978022,0.2964426877470355,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1352509321902561,0.4162087912087912,0.3162055335968379,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.1728716296406271,0.2568681318681319,0.3241106719367588,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3695652173912975,0.3580246913580325,0.1208403308130004,0.5453296703296703,0.3320158102766798,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3703703703703738,0.1206225672496893,0.4903846153846153,0.3517786561264822,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3580246913580325,0.1179624426384015,0.5233516483516483,0.3636363636363636,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.1520977287962855,0.3516483516483516,0.375494071146245,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.104574824205158,0.5755494505494505,0.3833992094861659,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1338051094083661,0.4162087912087912,0.3913043478260869,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.1399123344059801,0.4010989010989011,0.3992094861660079,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3580246913580325,0.1556358779701161,0.3337912087912088,0.4071146245059288,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3695652173912975,0.3456790123456841,0.1135670145733374,0.5068681318681318,0.4189723320158102,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1050985502386236,0.5618131868131868,0.4268774703557312,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1327005066041214,0.5137362637362637,0.4347826086956521,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.3827160493827222,0.0665559544222267,0.6442307692307693,0.4426877470355731,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1304378374908684,0.5439560439560439,0.450592885375494,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3703703703703738,0.1581082266425872,0.3516483516483516,0.458498023715415,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3580246913580325,0.1330706588666435,0.3901098901098901,0.4664031620553359,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.3580246913580325,0.0734537159736833,0.7788461538461537,0.4743083003952569,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3580246913580325,0.0997255494628057,0.5865384615384615,0.4822134387351778,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.4021739130434767,0.3580246913580325,0.1378811925527358,0.478021978021978,0.4901185770750987,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3913043478260789,0.3456790123456841,0.1328858279221344,0.4189560439560439,0.4980237154150197,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3333333333333357,0.1149800162705318,0.5123626373626373,0.5059288537549407,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3333333333333357,0.159299567610716,0.3282967032967033,0.5138339920948616,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3695652173912975,0.3333333333333357,0.1071642149595735,0.5412087912087912,0.5217391304347826,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3695652173912975,0.3333333333333357,0.1043118513032354,0.6291208791208791,0.533596837944664,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3333333333333357,0.0867657988958754,0.6758241758241758,0.5454545454545454,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3804347826086953,0.3456790123456841,0.1561401548889653,0.3392857142857143,0.5533596837944663,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3695652173912975,0.3456790123456841,0.1016408337074555,0.5755494505494505,0.5652173913043478,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3695652173912975,0.3580246913580325,0.061604633528609,0.7074175824175823,0.5849802371541502,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3804347826086953,0.3580246913580325,0.1091840159010699,0.6263736263736263,0.592885375494071,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.0498295930725417,0.7142857142857142,0.6126482213438734,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3804347826086953,0.3580246913580325,0.1234077736125687,0.4436813186813187,0.6205533596837944,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3695652173912975,0.3456790123456841,0.1300536494108285,0.4313186813186814,0.6284584980237153,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3586956521739139,0.3333333333333357,0.1638920718625395,0.3351648351648351,0.6363636363636364,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3586956521739139,0.3333333333333357,0.0980532307014692,0.6414835164835164,0.6482213438735177,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3586956521739139,0.3333333333333357,0.0934508268922584,0.5302197802197801,0.6679841897233201,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3478260869565162,0.3333333333333357,0.1238276050375856,0.4093406593406594,0.6798418972332015,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3478260869565162,0.3333333333333357,0.1420423918661824,0.4436813186813187,0.6877470355731224,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.3333333333333357,0.1242451682513543,0.4986263736263737,0.7075098814229248,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3260869565217348,0.3209876543209944,0.0898572918284471,0.6071428571428571,0.7154150197628458,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.3209876543209944,0.1149800162705318,0.4958791208791208,0.7272727272727272,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.3209876543209944,0.1021811031640491,0.5343406593406593,0.7351778656126482,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.308641975308646,0.1126118843218571,0.4642857142857143,0.7430830039525691,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.308641975308646,0.1373633843887353,0.510989010989011,0.7549407114624506,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.308641975308646,0.1709438732498869,0.3186813186813187,0.7667984189723319,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.308641975308646,0.1269050283397296,0.4450549450549451,0.7747035573122529,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3369565217391255,0.308641975308646,0.1815156705534061,0.2197802197802198,0.7826086956521738,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.2962962962963047,0.1199656990115206,0.5796703296703296,0.8023715415019762,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3369565217391255,0.308641975308646,0.1161397570250921,0.5453296703296703,0.8142292490118577,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.308641975308646,0.1208403308130004,0.4972527472527473,0.83399209486166,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.308641975308646,0.1145116187372385,0.5934065934065934,0.8458498023715414,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.308641975308646,0.0556441631587017,0.7815934065934066,0.8537549407114624,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0.3260869565217348,0.2962962962963047,0.0994488117928241,0.6662087912087912,0.8616600790513833,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0.3260869565217348,0.2962962962963047,0.137709041248226,0.4354395604395604,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.308641975308646,0.1138041470681386,0.5494505494505494,0.0079051383399209,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3478260869565162,0.3209876543209944,0.1069085399659529,0.5467032967032966,0.0197628458498023,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3478260869565162,0.3333333333333357,0.158826528525611,0.3049450549450549,0.0316205533596837,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3369565217391255,0.308641975308646,0.1420423918661824,0.3956043956043956,0.0395256916996047,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3369565217391255,0.3209876543209944,0.111402957904426,0.5370879120879121,0.0592885375494071,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3369565217391255,0.3209876543209944,0.1050985502386236,0.8035714285714285,0.0790513833992094,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0.3369565217391255,0.3209876543209944,0.0695081026911505,0.7596153846153846,0.0869565217391304,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3369565217391255,0.308641975308646,0.1417193417630082,0.4285714285714286,0.0948616600790513,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.2962962962963047,0.112371440865896,0.6456043956043955,0.1067193675889328,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3043478260869534,0.2839506172839492,0.1770587748963105,0.2335164835164835,0.1146245059288537,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3152173913043441,0.2839506172839492,0.1385653159409311,0.4107142857142857,0.1264822134387351,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.2962962962963047,0.065053078105563,0.7486263736263735,0.1383399209486165,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.2962962962963047,0.0907673899662069,0.5453296703296703,0.1462450592885375,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.2962962962963047,0.1430015888497053,0.4244505494505495,0.1541501976284585,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.308641975308646,0.1815815078479397,0.2417582417582417,0.1620553359683794,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.308641975308646,0.1058786266024682,0.6373626373626373,0.1699604743083003,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.3209876543209944,0.064294827896448,0.6318681318681317,0.1778656126482213,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.3209876543209944,0.1154458333073328,0.6332417582417582,0.1857707509881422,0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.3152173913043441,0.3209876543209944,0.1685344954089274,0.2802197802197802,0.1936758893280632,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3043478260869534,0.308641975308646,0.0779533725574262,0.6085164835164835,0.2134387351778656,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3043478260869534,0.308641975308646,0.117736792733583,0.5068681318681318,0.225296442687747,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.308641975308646,0.1503070682703532,0.3681318681318681,0.2332015810276679,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.308641975308646,0.1084318885120806,0.4725274725274725,0.2411067193675889,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3043478260869534,0.3209876543209944,0.0631488463506488,0.7170329670329669,0.2490118577075098,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.3333333333333357,0.0898572918284471,0.5398351648351648,0.2569169960474308,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3260869565217348,0.3456790123456841,0.1410682038803825,0.4093406593406594,0.2648221343873517,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.3260869565217348,0.3333333333333357,0.1290841560496004,0.5439560439560439,0.2727272727272727,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.3152173913043441,0.3333333333333357,0.1159090865917302,0.6332417582417582,0.2845849802371541,0,0.0,1.0,0.0,0.0,0.0,0.0
